Shopping Mall Name,Location,Address,Latitude,Longitude,Opening Date,Developer,Management,Owner,Number of Stores,Number of Floors,Floor Area,Transit Access,Website,Wesbite,SearchVal,Postal
Wisma Atria,,435 ORCHARD ROAD WISMA ATRIA SINGAPORE 238877,1.303698907,103.8331896,13 November 1986; 33 years ago,,YTL Starhill Global Property Management,YTL Starhill Global Property Management,100,"B, L1-L4 (Retail)
             L5-L7(Parking)
L10-L22 (Office)",, NS22  TE14  Orchard,,Wisma Atria,WISMA ATRIA,238877
Zhongshan Mall,,20 AH HOOD ROAD ZHONGSHAN MALL SINGAPORE 329984,1.326945045,103.84655440000002,,,,,,,,,,,ZHONGSHAN MALL,329984
White Sands,"Pasir Ris, Singapore",1 PASIR RIS CENTRAL STREET 3 WHITE SANDS SINGAPORE 518457,1.372398981,103.94974920000001,January 1997; 23 years ago,,AsiaMalls Management Pte Ltd,ARMF (WhiteSands) Pte. Ltd.,125,8,, EW1  CR5   CP1  Pasir Ris,,www.whitesands.com.sg,WHITE SANDS,518457
Downtown East,1 Pasir Ris Close Singapore 519599,DOWNTOWN EAST,1.377775842,103.9547736,,,NTUC Club,National Trades Union Congress (NTUC),,,,,,,DOWNTOWN EAST,NIL
Century Square,"Tampines, Singapore",2 TAMPINES CENTRAL 5 CENTURY SQUARE SINGAPORE 529509,1.3523611309999999,103.9437848,Jul-95,,Frasers Property,Century Square Holding Pte Ltd,218 (upon reopening),6 levels,, EW2  DT32  Tampines,,www.centurysquare.com.sg,CENTURY SQUARE,529509
Tampines 1,"Tampines, Singapore",10 TAMPINES CENTRAL 1 OCBC TAMPINES 1 SINGAPORE 529536,1.354315565,103.9450195,1 April 2009; 11 years ago,ARMF II (Tampines) Pte Ltd,AsiaMalls Management Pte Ltd,,Approx. 176,7,, EW2  DT32  Tampines,,Tampines 1,OCBC TAMPINES 1,529536
Tampines Mall,"Tampines, Singapore",4 TAMPINES CENTRAL 5 TAMPINES MALL SINGAPORE 529510,1.3525802519999999,103.94469620000001,December 1995; 24 years ago,CapitaMall Trust,CapitaMalls Asia,CapitaMall Trust,160,6,, EW2  DT32  Tampines,,Tampines Mall,TAMPINES MALL,529510
Our Tampines Hub,"1 Tampines Walk, Singapore 528523",1 TAMPINES WALK OUR TAMPINES HUB SINGAPORE 528523,1.353101202,103.9408486,,,,People’s Association,,,,,,,OUR TAMPINES HUB,528523
Changi Airport,"Changi, East Region, Singapore",CHANGI AIRPORT MRT STATION EXIT B,1.357220256,103.9873046,,,,Government of Singapore[1],,,,,,changiairport.com,CHANGI AIRPORT MRT STATION EXIT B,NIL
Changi City Point,"Changi Business Park, Singapore",5 CHANGI BUSINESS PARK CENTRAL 1 CHANGI CITY POINT SINGAPORE 486038,1.334036379,103.9629176,6 November 2011; 9 years ago,"Ascendas Land
Frasers Property",Frasers Property,Frasers Property,140,4,," CG1  DT35  Expo
SBS Transit Service: 20, Go-Ahead Service: 118",,www.changicitypoint.com.sg,CHANGI CITY POINT,486038
Djitsun Mall Bedok,,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661,1.326053199,103.92960459999999,,,,,,,,,,,DJITSUN MALL BEDOK,469661
