Station Code,Station Status,Station Address,Opening Date,Planning Area,Connection(s)
CP1,Future,Pasir Ris MRT Station,16-Dec-89,Pasir Ris,Pasir Ris Bus Interchange
EW1,Operating,Pasir Ris MRT Station,16-Dec-89,Pasir Ris,Pasir Ris Bus Interchange
EW8,Operating,Paya Lebar MRT Station,4-Nov-89,Geylang,
CC9,Operating,Paya Lebar MRT Station,4-Nov-89,Geylang,
JW5,Future,Peng Kang Hill MRT Station,2028,Western Water Catchment,
EW28,Operating,Pioneer MRT Station,28-Feb-09,Jurong West,
NE10,Operating,Potong Pasir MRT Station,20-Jun-03,Toa Payoh,
CC32,Future,Prince Edward Road MRT Station,2025,Downtown Core,
CC4,Operating,Promenade MRT Station,17-Apr-10,Downtown Core,Marina Centre Bus Terminal
DT15,Operating,Promenade MRT Station,17-Apr-10,Downtown Core,Marina Centre Bus Terminal
NE18,Future,Punggol Coast MRT Station,2024,Punggol,Punggol North Bus Interchange
CP4,Future,Punggol MRT Station,20-Jun-03,Punggol,Punggol Temporary Bus Interchange
NE17,Operating,Punggol MRT Station,20-Jun-03,Punggol,Punggol Temporary Bus Interchange
PTC,Operating,Punggol MRT Station,20-Jun-03,Punggol,Punggol Temporary Bus Interchange
EW19,Operating,Queenstown MRT Station,12-Mar-88,Queenstown,
NS26,Operating,Raffles Place MRT Station,12-Dec-87,Downtown Core,
EW14,Operating,Raffles Place MRT Station,12-Dec-87,Downtown Core,
EW18,Operating,Redhill MRT Station,12-Mar-88,Bukit Merah,
CP3,Future,Riviera MRT Station,2031,Punggol,
PE4,Operating,Riviera MRT Station,2031,Punggol,
DT13,Operating,Rochor MRT Station,27-Dec-15,Rochor,
NS11,Operating,Sembawang MRT Station,10-Feb-96,Sembawang,Sembawang Bus Interchange
NE16,Operating,Sengkang MRT Station,20-Jun-03,Sengkang,"Compassvale Bus Interchange
 Sengkang Bus Interchange"
STC,Operating,Sengkang MRT Station,20-Jun-03,Sengkang,"Compassvale Bus Interchange
 Sengkang Bus Interchange"
